Sl. No.	Product ID	Product JSON	Product Name	Brand Name
59	40500038#Monoprice Inc	{u'Item ID': [u'40500038'], u'Product Type': [u'Travel Plug Adapters'], u'Product Segment': [u'Electronics'], u'Product Name': [u'HDMI Port Saver Adapter (Male to Female) - Swiveling Type'], u'Product Long Description': [u'HDMI&reg; port savers are the perfect solution for relieving wear and tear on your equipment&#39;s HDMI&reg; ports due to constant plugging and unplugging or when heavy HDMI&reg; cables put extra strain on the connectors. This port saver will help ease the strain at the point of connection to eliminate damage to the HDMI&reg; ports on your HDMI&reg; device.&nbsp;This adapter can swivel smoothly up or down up to 90 degrees from center.HDMI the HDMI Logo and High-Definition Multimedia Interface are trademarks or registered trademarks of HDMI Licensing LLC in the United States and other countries.']}	HDMI Port Saver Adapter (Male to Female) - Swiveling Type	
60	11997497#Walmart.com	{u'Product Short Description': [u'<p>The Inland 10.2 inch netbook accessory kit contains everything you needed for the on-the-go computing. It includes a neoprene netbook case a USB mini mouse and a four-port USB hub. The bag is made of black neoprene and has elastic straps to fit netbooks from seven inches to 10.2 inches. It has a five inch by three inch pocket for your flash drive and ten inch by three inch mesh pocket for small accessories. The U-Navigate optical mouse included in this Inland Pro netbook kit is ergonomically designed for comfortable use. This kit includes a USB interface. The self-powered USB hub distributes power evenly between four USB ports. It is equipped with the latest USB technology version 2.0 to provide a super high-speed data transfer rate. The Inland Pro netbook kit protects your netbook and makes it easier to use on the go. </p>'], u'Product Segment': [u'Electronics'], u'Assembled Product Length': [u'1.2'], u'Assembled Product Width': [u'11.35'], u'Product Long Description': [u'<strong>Inland 10.2 Netbook Accessory Kit with Case:</strong><strong>Bag:</strong><li>Bag size : 10.6 x 8.7 x 1.2 inches</li><li>Black neoprene material</li><li>Elastic straps accommodate netbooks with screens from 7 to 10.2</li><li>5 x 3 pocket for flash drives</li><li>10 x 3 mesh pocket for small accessories</li><li>Fits netbooks that use a 3- or 6-cell battery</li><strong>Mini mouse:</strong><li>U-Navigate optical mouse with USB interface</li><li>Infrared sensor lights up</li><li>Works on most surfaces so no mousepad is needed</li><li>Accurate and reliable tracking technology</li><li>Three programmable buttons for navigation of the Internet</li><li>Dynamic resolution : 800dpi </li><li>Ergonomic shape conforms to your hand for comfortable use</li><li>Easy installation and setup</li><li>Compatible with all major software applications</li><strong>Hub:</strong><li>Self-powered USB hub distributes power equally among four ports </li><li>Ultra-lightweight compact design draws additional 500mA current from your laptop or desktop computer to support up to four USB devices</li><li>Latest USB technology version 2.0 at 480 Mbps provides super high-speed data transfer rate that is 40 times faster than USB 1.1</li><li>Backward-compatible with USB 1.1</li><li>True plug-and-play with no software drivers required</li>'], u'Product Name': [u'Inland 10.2 Netbook Accessory Kit with Case Mouse & Hub'], u'Assembled Product Height': [u'10'], u'Product Type': [u'Laptop Bags & Cases'], u'Item ID': [u'11997497']}	Inland 10.2 Netbook Accessory Kit with Case Mouse & Hub	Inland
61	40549786#TigerDirect	{u'Item ID': [u'40549786'], u'Product Type': [u'Home Speakers & Subwoofers'], u'Product Segment': [u'Electronics'], u'Product Name': [u'HP Roar Wireless Speaker - Speaker - for portable use - wireless - 2.5 Watt - sweet yellow'], u'Product Long Description': [u'<!-- CNET Content -->Crisp compact colorful - HP Roar Wireless Speaker. New Smart Amp technology delivers booming bass with crystal clarity. Distinctively different with amplified audio you can take anywhere.<br><br><h3 id=detailspecs>Specifications</h3><span class=font_size3bold>General</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Product Type: &nbsp;Speaker - for portable use<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Integrated Components: &nbsp;Microphone<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Width: &nbsp;6.8 in<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Depth: &nbsp;3.1 in<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Height: &nbsp;2.9 in<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Weight: &nbsp;12.9 oz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Enclosure Color: &nbsp;Sweet yellow<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Localization: &nbsp;English / Canada<br><br><span class=font_size3bold>Speaker System</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Speaker Type: &nbsp;Active<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Nominal (RMS) Output Power: &nbsp;2.5 Watt<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Max (RMS) Output Power: &nbsp;15 Watt<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Response Bandwidth: &nbsp;100 - 16000 Hz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Output Level (SPL): &nbsp;93 dB<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Audio Amplifier: &nbsp;Integrated<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Connectivity Interfaces: &nbsp;Bluetooth<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Transmission Range: &nbsp;33 ft<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Built-in Devices: &nbsp;Microphone<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Controls: &nbsp;Power on/off volume call answer<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Additional Features: &nbsp;Noise filter USB charging Smart Amp technology<br><br><span class=font_size3bold>Speaker System Details</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Speaker Details: &nbsp;Speaker - mono 2.5 Watt - 100 - 16000 Hz - active<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Driver Details: &nbsp;Speaker : 2 x full-range driver Speaker : 1 x passive radiator<br><br><span class=font_size3bold>Connections</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Connector Type: &nbsp;Audio line-in ( mini-phone 3.5 mm )<br><br><span class=font_size3bold>Miscellaneous</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet']}	HP Roar Wireless Speaker - Speaker - for portable use - wireless - 2.5 Watt - sweet yellow	HP Roar
62	16560989	{u'Product Short Description': [u'<li>Made of durable neoprene for long-lasting wear<li>Compact and tear-resistant soft-case<li>Secure pocket design'], u'Category': [u'GPS Carrying Case'], u'Product Segment': [u'Electronics'], u'Multipack Indicator': [u'N'], u'Battery Type': [u'Does Not Contain a Battery'], u'Assembled Product Length': [u'9.15'], u'Manufacturer Part Number': [u'0-528-00276-7'], u'Country of Origin: Components': [u'Imported'], u'UPC': [u'070609002767'], u'Has Mercury': [u'N'], u'Assembled Product Width': [u'5.75'], u'Product Name': [u'Rand Mcnally 0-528-00276-7 5 Gps Soft Case'], u'Energy Star': [u'N'], u'Composite Wood Code': [u'No'], u'GTIN': [u'00070609002767'], u'Assembled Product Height': [u'1.25'], u'Product Type': [u'Electronics Carrying Cases'], u'CPSC-Regulated Indicator': [u'N'], u'Product Long Description': [u'<p><b>Rand McNally Soft Case for 5 GPS Units:</b><ul><li>Made of durable neoprene for long-lasting wear<li>Compact and tear-resistant soft-case<li>Secure pocket design<li>Interior padding provides extra protection from scratches, smudges and smears</ul>']}	Rand Mcnally 0-528-00276-7 5 Gps Soft Case	Rand Mcnally 
63	42396301	{u'Product Short Description': [u'roocase Slim Fit Median Hard Case Protective Cover works with iPhone 6 4.7, Gold'], u'Category': [u'Cases'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'Manufacturer Part Number': [u'RCIPH64.7MDCG'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'894584553928'], u'GTIN': [u'00894584553928'], u'Product Name': [u'roocase Slim Fit Median Hard Case Protective Cover works with iPhone 6 4.7, Gold'], u'Product Type': [u'Cell Phone Cases'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'roocase Slim Fit Median Hard Case Protective Cover works with iPhone 6 4.7, Gold']}	roocase Slim Fit Median Hard Case Protective Cover works with iPhone 6 4.7, Gold	roocase
64	41490068	{u'Product Short Description': [u'Panasonic KX-TG9542B Dect 6.0 2-Line Cordless Phone w/ Link-to-Cell & 2-Handsets + 2 Line Handset For KX-TG954X + Blue Planet Wireless Bluetooth Headset and Focus $10 Gift Card'], u'Category': [u'Headsets'], u'Product Segment': [u'Electronics'], u'UPC': [u'680569099082'], u'Country of Origin: Components': [u'USA and/or Imported'], u'GTIN': [u'00680569099082'], u'Is Wireless Microphone': [u'N'], u'Product Name': [u'Panasonic KX-TG9542B Dect 6.0 2-Line Cordless Phone w/ Link-to-Cell & 2-Handsets + 2 Line Handset For KX-TG954X + Blue Planet Wireless Bluetooth Headset and Focus $10 Gift Card'], u'Number of Batteries': [u'0'], u'Product Type': [u'Headsets'], u'Warranty Information': [u'Y'], u'Condition': [u'New'], u'Product Long Description': [u'Model: APANKXTG9542BK1. With 2 landlines and Link-to-Cell via Bluetooth, 3-Line simultaneous communication is possible! Up to 6 handsets can be kept on standby at the same time, and up to 4 cell phones can be registered.The 2-LINE answering system is used separately for ordinary contacts, emergency contacts, etc is very useful in a variety of situations such as, using two separate lines for private and business use. If the power goes out, the phone will operate using 2 AAA batteries so you don&rsquo;t miss a call.You can also block annoying calls from unwanted callers. Calls from the call block list or without phone numbers will be blocked if they call you. The KX-TG954x disconnects the call and emits no sound to the caller.']}	Panasonic KX-TG9542B Dect 6.0 2-Line Cordless Phone w/ Link-to-Cell & 2-Handsets + 2 Line Handset For KX-TG954X + Blue Planet Wireless Bluetooth Headset and Focus $10 Gift Card	Panasonic
65	42395520#TigerDirect	{u'Item ID': [u'42395520'], u'Product Type': [u'Motherboards'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Supermicro X8DTH-6F Server Motherboard - Intel 5520 Chipset - Socket B LGA-1366 - Retail Pack'], u'Product Long Description': [u'<!-- Etilize Content --><li>X8DTH-6F Server Board </li><li>1 x ATX Floppy Cable </li><li>1 x ATA 66/100 IDE LP Cable </li><li>4 x 2ft. Amphenol SATA Cable </li><li>1 x I/O Shield </li><li>2 x 50cm IPASS to 4 SATA </li><li>1 x Support Disc </li><li>1 x User Manual </li><BR><BR><p>This X8DTH-6F Server Board is designed with the utmost attention to detail to provide the highest standards in quality and performance. X8DTH-6F Server Board supports the Intel 5500 Series Processor the first dual-processor platform that supports the Intel QuickPath Interconnect (QPI) Technology providing the next generation point-to-point system interface to replace the current Front Side Bus.</p><!-- End Etilize Content -->']}	Supermicro X8DTH-6F Server Motherboard - Intel 5520 Chipset - Socket B LGA-1366 - Retail Pack	Supermicro
66	40993494#TigerDirect	{u'Item ID': [u'40993494'], u'Product Type': [u'Audio/Video Cables'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Hemp Cord 20# 30 Feet/Pkg-Spring'], u'Product Long Description': [u'Hemp Cord 20# 30 Feet/Pkg-SpringHEMPTIQUE-Hemp Cord: Spring. Natural Hemp Cord is the preferred choice for use in crafts including jewelry making; scrapbooking; handmade cards; gardening and more! Hemp Cord is a natural biodegradable and eco-friendly alternative to cotton and synthetic cordage. This package contains an assortment of 20-lb Hemp Cord: 29.8 feet (9.1 meters) total length. Imported.']}	Hemp Cord 20# 30 Feet/Pkg-Spring	
67	13056130	{u'Product Short Description': [u'DURABrite Ultra Inks are engineered to have superior image quality. Creates smudge, fade and water resistant prints each use. Prints look brilliant on both plain and glossy photo papers. Device Types: Inkjet Printer Colors: Yellow Supply Type: Ink Market Indicator Cartridge Number: 88.EPST088420. T088420. Epson Epson T088420 88 Ink. Ink'], u'Category': [u'Toners & Cartridges'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'Manufacturer Part Number': [u'T088420'], u'Country of Origin: Components': [u'USA and/or Imported'], u'GTIN': [u'00010343864320'], u'Product Name': [u'Epson T088420 88 Ink EPST088420'], u'Product Type': [u'Printer Cartridges'], u'Product Long Description': [u'DURABrite Ultra Inks are engineered to have superior image quality. Creates smudge, fade and water resistant prints each use. Prints look brilliant on both plain and glossy photo papers. Device Types: Inkjet Printer Colors: Yellow Supply Type: Ink Market Indicator Cartridge Number: 88.EPST088420. T088420. Epson Epson T088420 88 Ink. Ink<br><ul><li><b>Device Types</b>: Inkjet Printer</li><li><b>Colors</b>: Yellow</li><li><b>Supply Type</b>: Ink</li><li><b>Market Indicator Cartridge Number</b>: 88</li><li><b>Oem/compatible</b>: OEM</li><li><b>Remanufactured</b>: No</li><li><b>Pre-consumer Recycled Content Percent</b>: 0%</li><li><b>Post-consumer Recycled Content Percent</b>: 0%</li><li><b>Total Recycled Content Percent</b>: 0%</li><li><b>Assembly Code</b>: N</li><li><b>Green Indicator</b>: N</li><li><b>EPACPGCompliant Code</b>: N</li></ul><br>']}	Epson T088420 88 Ink EPST088420	Epson
68	570879#Walmart.com	{u'Digital Video Formats': [u'Paperback'], u'Product Segment': [u'Electronics'], u'Item ID': [u'570879'], u'Assembled Product Length': [u'6'], u'Assembled Product Width': [u'9'], u'Product Name': [u'Tarot Plain and Simple'], u'Assembled Product Height': [u'1'], u'Product Type': [u'Video Games'], u'Product Long Description': [u'<P>Tarot Plain and Simple by Anthony Louis is the book youve been waiting for As the title indicates this book presents the Tarot in clear language that anyone can understand. If youve had trouble learning the Tarot this book gives the meaning of each and every one of the 78 Tarot cards -- both in simple terms and in-depth ones both upright interpretations and those for when a card is drawn reversed. Illustrations are from the elegant and mystic Robin Wood Tarot. <P>This book leaves nothing out It includes an overview of the history of the Tarot and suggests why this divinatory method works from a scientific point of view. It even includes several spreads and example readings. That way you can see exactly how the Tarot works how the cards play off of each other and how to give a reading. <P>Turn to any page and see how you can learn meanings and interpretations. The Five of Cups shows a cloaked person with head down and three of five cups knocked over spilling their contents. Upright the card means mourning. But the key words and phrases give you so much more. It can also mean regret sadness loss of trust an emotional letdown betrayal in love and much more. How can you tell which expression best fits the card It depends upon where it falls in the spread and the cards that surround or lead up to it. This is explained in the clear but comprehensive section on Tarot card spreads and is illustrated in the sample readings. If you have been waiting for an ideal book to help you learn the Tarot this is it. The longer you wait the longer it will be before you can give effective Tarot readings. Get out that Tarot deck and get this book today']}	Tarot Plain and Simple	
69	12021398#Wayfair	{u'Product Type': [u'Audio/Video Cables'], u'Product Segment': [u'Electronics'], u'Assembled Product Length': [u'150'], u'Product Name': [u'Comprehensive VGA/UXGA Metal Hood HD15 Pin Plug to Jack Cables'], u'Product Long Description': [u'CH1475<br /><strong>Features</strong><br /><li>Contains three individually shielded coaxes for high resolution video and graphics.</li><li>100pct tinned copper braid shield with aluminum foil wrap.</li><li>Molded high density 15 pin connectors for maximum strain relief and durability.</li><li>Easy-grip thumbscrews make connecting easy.</li> <br /><strong>Dimensions</strong><br /><br />Length 100<br /><li>Overall Length: 1200 Inches</li><br />Length 150<br /><li>Overall Length: 1800 Inches</li><br />Length 200<br /><li>Overall Length: 2400 Inches</li><br />Length 25<br /><li>Overall Length: 300 Inches</li>'], u'Item ID': [u'12021398']}	Comprehensive VGA/UXGA Metal Hood HD15 Pin Plug to Jack Cables	Comprehensive
70	41868474#Zoro	{u'Item ID': [u'41868474'], u'Product Type': [u'Cable Covers'], u'Product Segment': [u'Electronics'], u'Product Name': [u'PANDUIT T70ICIW Raceway Inside Corner'], u'Product Long Description': [u'Raceway Inside Corner Non Metallic Raceway Type T70 Height (In.) 4.07 Width (In.) 4.42 Length (In.) 3.5 Color International White Material of Construction PVC Mounting Snap On Connector Type T70 Standards UL CSA For Use With 5ZXA1<br><b>Features</b><ul><li>Color : International White</li><li>Connector Type : T70</li><li>For Use With : 5ZXA1</li><li>Height (In.) : 4.07</li><li>Item : Raceway Inside Corner</li><li>Length (In.) : 3.5</li><li>Material of Construction : PVC</li><li>Package Quantity : 1</li><li>Type : Non Metallic</li><li>Width (In.) : 4.42</li><li>Mounting : Snap On</li><li>Raceway Type : T70</li><li>Standards : UL CSA</li></ul>']}	PANDUIT T70ICIW Raceway Inside Corner	PANDUIT
71	42557553#TEKENVY	{u'Item ID': [u'42557553'], u'Product Type': [u'Network Switch Modules'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Belkin 7-port USB Hub - USB - External - 7 USB Port(s) - 7 USB 2.0 Port(s)'], u'Product Long Description': [u'<p><b>General Information</b><ul><li>Manufacturer: Belkin International Inc</li><li>Manufacturer Part Number: F4U018-BLK</li><li>Brand Name: Belkin</li><li>Product Name: 7-port USB Hub</li><li>Product Type: USB Hub</li></ul></p><p><b>Technical Information</b><ul><li>Host Interface: USB</li></ul></p><p><b>Interfaces/Ports</b><ul><li>Total Number of USB Ports: 7</li><li>Number of USB 2.0 Ports: 7</li></ul></p><p><b>Physical Characteristics</b><ul><li>Color: Black</li><li>Form Factor: External</li></ul></p>']}	Belkin 7-port USB Hub - USB - External - 7 USB Port(s) - 7 USB 2.0 Port(s)	Belkin
72	42496643#TigerDirect	{u'Item ID': [u'42496643'], u'Product Type': [u'RAM Memory'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Toshiba Satellite L55DT-B5144 - A series A8-6410 / 2 GHz - Windows 8.1 - 8 GB RAM - 1 TB HDD - DVD SuperMulti - 15.6 to'], u'Product Long Description': [u'<!-- CNET Content -->Offering the perfect mix of style performance and versatility the thinner and more elegant 15.6 Satellite L50 laptop series is designed for those who want a value-packed PC to stay fully connected productive and entertained or to replace their desktop computer.<br><br><h3 id=detailspecs>Specifications</h3><span class=font_size3bold>General</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Product Type: &nbsp;Notebook<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Operating System: &nbsp;Windows 8.1<br><br><span class=font_size3bold>Processor / Chipset</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;CPU: &nbsp;AMD A series A8-6410 / 2 GHz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Max Turbo Speed: &nbsp;2.4 GHz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Number of Cores: &nbsp;Quad-Core<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Cache: &nbsp;L2 - 2 MB<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;64-bit Computing: &nbsp;Yes<br><br><span class=font_size3bold>Memory</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;RAM: &nbsp;8 GB<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Technology: &nbsp;DDR3L SDRAM<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Speed: &nbsp;1600 MHz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Slots Qty: &nbsp;2<br><br><span class=font_size3bold>Storage</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Main Storage: &nbsp;1 TB HDD / 5400 rpm<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Interface: &nbsp;SATA<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Optical Drive: &nbsp;DVDRW (R DL) / DVD-RAM<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Read Speed: &nbsp;24x (CD) / 8x (DVD)<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Write Speed: &nbsp;24x (CD) / 8x (DVDR) / 6x (DVDR DL)<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Rewrite Speed: &nbsp;16x (CD) / 6x (DVD-RW) / 8x (DVD+RW) / 5x (DVD-RAM)<br><br><span class=font_size3bold>Display</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Type: &nbsp;15.6<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;LCD Backlight Technology: &nbsp;LED backlight<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Touchscreen: &nbsp;Yes (multi-touch)<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Resolution: &nbsp;1366 x 768 ( HD )<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Widescreen: &nbsp;Yes<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Image Aspect Ratio: &nbsp;16:9<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet']}	Toshiba Satellite L55DT-B5144 - A series A8-6410 / 2 GHz - Windows 8.1 - 8 GB RAM - 1 TB HDD - DVD SuperMulti - 15.6 to	Toshiba Satellite
73	29896698#UnbeatableSale.com	{u'Item ID': [u'29896698'], u'Product Type': [u'Headphones'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Califone International Cls729-4-03 4-Person Wireless Listening System - Green'], u'Product Long Description': [u'This 4-person wireless listening system is ideal for language learning literacy groups ELL / ELD applications story-time music and audio book listening other classroom and library uses- With a 100 range from the transmitter to the headphones the system creates flexible learning environments where the students do not need to be next to the audio source- There are three different color-coded frequencies with matching hardware to choose from with an unlimited number of headphones that can be added later for larger sized groups- Since each transmitter and its matching color-coded headphones operate on their own independent frequency three different groups can enjoy wireless learning in the same room without any interference- The transmitter has a 1/4 plug to attach a microphone- When connected this allows announcements to be made which are heard only by students who are wearing headphones that are receiving from that transmitter- Each system includes four wireless headphones a matching color-coded VHF transmitter that plugs into any audio source (MP3 player computer multimedia player VCR / CD / DVD player or television monitor) all necessary charging cables and an AC adapter- For the specialized needs of wireless group or 1:1 instruction with differentiated learning rates for an unlimited number of students- Brings flexible wireless listening to as many as four different groups at the same time- Each of the four frequencies has color-coded hardware for easy identification and use- 100+ transmitter range for convenience in any setting- Includes all necessary hardware to begin wireless listening from any multimedia source- More students can be included by adding headphones- For four students green frequency 72-900 MHz (includes 2003 rack)- Contact Califone directly for headphone battery replacement options- SKU: CAFI353']}	Califone International Cls729-4-03 4-Person Wireless Listening System - Green	Califone International
